,DataCreationDate,County,SiteName,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec
0,2020-02-29 23:00,桃園市,桃園(觀音工業區),83.0,0.5,,15.0,46.0,31,13.0,13.0,0.4,0.3,116.0
1,2020-02-29 23:00,桃園市,平鎮,75.0,4.0,0.87,6.3,57.0,39,37.0,41.0,3.8,0.8,114.0
2,2020-02-29 23:00,桃園市,觀音,78.0,1.8,0.39,33.0,49.0,34,12.0,12.0,0.0,1.5,91.0
3,2020-02-29 23:00,桃園市,龍潭,79.0,4.7,0.65,11.0,37.0,30,25.0,29.0,3.7,0.8,136.0
4,2020-02-29 23:00,桃園市,大園,69.0,4.4,0.47,16.0,38.0,26,,,,1.3,101.0
5,2020-02-29 23:00,桃園市,桃園,60.0,3.8,0.97,3.4,37.0,23,34.0,42.0,8.2,0.6,112.0
6,2020-02-29 23:00,桃園市,中壢,76.0,5.4,1.72,2.0,57.0,34,41.0,86.0,45.0,0.7,199.0
7,2020-02-29 22:00,桃園市,觀音,72.0,1.5,0.4,42.0,62.0,31,12.0,12.0,-0.1,1.7,99.0
8,2020-02-29 22:00,桃園市,桃園,58.0,3.2,0.84,9.8,31.0,19,32.0,38.0,6.0,0.7,75.0
9,2020-02-29 22:00,桃園市,桃園(觀音工業區),82.0,0.6,,16.0,48.0,35,16.0,16.0,0.9,0.3,149.0
10,2020-02-29 22:00,桃園市,大園,74.0,3.5,0.44,22.0,41.0,28,,,,1.7,80.0
11,2020-02-29 22:00,桃園市,中壢,72.0,4.2,1.91,4.0,55.0,36,41.0,86.0,45.0,0.6,305.0
12,2020-02-29 22:00,桃園市,平鎮,71.0,4.0,0.64,19.0,40.0,22,25.0,27.0,1.5,0.9,80.0
13,2020-02-29 22:00,桃園市,龍潭,81.0,4.6,0.92,4.6,49.0,34,35.0,48.0,13.0,1.1,134.0
14,2020-02-29 21:00,桃園市,大園,71.0,3.2,0.34,41.0,38.0,19,,,,1.0,147.0
15,2020-02-29 21:00,桃園市,桃園(觀音工業區),79.0,0.4,,23.0,55.0,31,12.0,12.0,0.3,0.3,85.0
16,2020-02-29 21:00,桃園市,觀音,66.0,1.4,0.4,43.0,52.0,34,14.0,14.0,-0.1,1.6,100.0
17,2020-02-29 21:00,桃園市,中壢,65.0,4.5,0.81,19.0,44.0,22,28.0,40.0,12.0,0.6,275.0
18,2020-02-29 21:00,桃園市,平鎮,69.0,4.5,0.49,24.0,43.0,24,23.0,24.0,1.1,0.7,247.0
