,DataCreationDate,County,SiteName,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec
0,2020-11-30 23:00,桃園市,桃園,30.0,2.1,0.43,21.5,20.0,8.0,16.0,16.3,0.3,1.5,41.0
1,2020-11-30 23:00,桃園市,中壢,42.0,1.7,0.61,17.6,14.0,10.0,22.0,29.1,7.1,1.0,24.0
2,2020-11-30 23:00,桃園市,觀音,52.0,5.5,0.2,38.0,36.0,20.0,4.3,4.6,0.3,8.4,59.0
3,2020-11-30 23:00,桃園市,龍潭,31.0,1.8,0.23,37.4,11.0,5.0,3.8,4.9,1.1,6.4,64.0
4,2020-11-30 23:00,桃園市,平鎮,34.0,1.8,0.31,26.5,14.0,13.0,11.5,13.6,2.2,2.4,50.0
5,2020-11-30 23:00,桃園市,大園,35.0,3.4,0.17,40.3,22.0,13.0,,,,6.4,50.0
6,2020-11-30 23:00,桃園市,平鎮,34.0,1.8,0.31,26.5,14.0,13.0,11.5,13.6,2.2,2.4,50.0
7,2020-11-30 23:00,桃園市,觀音,52.0,5.5,0.2,38.0,36.0,20.0,4.3,4.6,0.3,8.4,59.0
8,2020-11-30 23:00,桃園市,中壢,42.0,1.7,0.61,17.6,14.0,10.0,22.0,29.1,7.1,1.0,24.0
9,2020-11-30 23:00,桃園市,龍潭,31.0,1.8,0.23,37.4,11.0,5.0,3.8,4.9,1.1,6.4,64.0
10,2020-11-30 23:00,桃園市,大園,35.0,3.4,0.17,40.3,22.0,13.0,,,,6.4,50.0
11,2020-11-30 23:00,桃園市,桃園,30.0,2.1,0.43,21.5,20.0,8.0,16.0,16.3,0.3,1.5,41.0
12,2020-11-30 22:00,桃園市,平鎮,34.0,1.8,0.3,27.1,12.0,8.0,12.7,15.3,2.6,2.7,55.0
13,2020-11-30 22:00,桃園市,觀音,48.0,3.5,0.2,37.8,27.0,13.0,4.5,4.9,0.3,8.1,63.0
14,2020-11-30 22:00,桃園市,中壢,43.0,1.7,0.54,17.8,14.0,18.0,23.0,32.3,9.3,1.0,12.0
15,2020-11-30 22:00,桃園市,桃園,30.0,1.0,0.53,18.2,10.0,6.0,19.5,20.4,0.9,2.1,76.0
16,2020-11-30 22:00,桃園市,平鎮,34.0,1.8,0.3,27.1,12.0,8.0,12.7,15.3,2.6,2.7,55.0
17,2020-11-30 22:00,桃園市,龍潭,32.0,2.1,0.25,36.9,10.0,7.0,4.0,5.4,1.4,5.5,60.0
18,2020-11-30 22:00,桃園市,大園,32.0,3.7,0.2,35.7,23.0,12.0,12.0,13.4,1.4,6.9,49.0
19,2020-11-30 22:00,桃園市,桃園,30.0,1.0,0.53,18.2,10.0,6.0,19.5,20.4,0.9,2.1,76.0
20,2020-11-30 22:00,桃園市,中壢,43.0,1.7,0.54,17.8,14.0,18.0,23.0,32.3,9.3,1.0,12.0
21,2020-11-30 22:00,桃園市,大園,32.0,3.7,0.2,35.7,23.0,12.0,12.0,13.4,1.4,6.9,49.0
22,2020-11-30 22:00,桃園市,龍潭,32.0,2.1,0.25,36.9,10.0,7.0,4.0,5.4,1.4,5.5,60.0
23,2020-11-30 22:00,桃園市,觀音,48.0,3.5,0.2,37.8,27.0,13.0,4.5,4.9,0.3,8.1,63.0
24,2020-11-30 21:00,桃園市,中壢,40.0,1.7,0.79,11.8,15.0,13.0,29.3,44.3,14.9,0.9,355.0
25,2020-11-30 21:00,桃園市,觀音,49.0,5.7,0.22,38.0,29.0,17.0,4.4,4.5,0.3,7.4,65.0
26,2020-11-30 21:00,桃園市,平鎮,34.0,2.1,0.41,22.1,13.0,10.0,16.2,19.5,3.3,2.5,45.0
27,2020-11-30 21:00,桃園市,中壢,40.0,1.7,0.79,11.8,15.0,13.0,29.3,44.3,14.9,0.9,355.0
28,2020-11-30 21:00,桃園市,桃園,32.0,2.0,0.48,20.9,13.0,9.0,17.3,18.2,0.9,1.7,48.0
29,2020-11-30 21:00,桃園市,大園,32.0,4.0,0.2,33.0,18.0,12.0,15.6,20.5,4.9,8.1,46.0
30,2020-11-30 21:00,桃園市,龍潭,32.0,2.0,0.26,35.9,5.0,7.0,5.8,7.1,1.3,7.5,63.0
31,2020-11-30 21:00,桃園市,觀音,49.0,5.7,0.22,38.0,29.0,17.0,4.4,4.5,0.3,7.4,65.0
32,2020-11-30 21:00,桃園市,平鎮,34.0,2.1,0.41,22.1,13.0,10.0,16.2,19.5,3.3,2.5,45.0
33,2020-11-30 21:00,桃園市,大園,32.0,4.0,0.2,33.0,18.0,12.0,15.6,20.5,4.9,8.1,46.0
34,2020-11-30 21:00,桃園市,桃園,32.0,2.0,0.48,20.9,13.0,9.0,17.3,18.2,0.9,1.7,48.0
35,2020-11-30 21:00,桃園市,龍潭,32.0,2.0,0.26,35.9,5.0,7.0,5.8,7.1,1.3,7.5,63.0
36,2020-11-30 20:00,桃園市,中壢,39.0,1.7,0.99,16.2,19.0,13.0,28.6,51.5,22.8,0.9,335.0
37,2020-11-30 20:00,桃園市,桃園,33.0,2.4,0.55,20.4,17.0,12.0,18.3,19.4,1.1,2.3,63.0
38,2020-11-30 20:00,桃園市,觀音,45.0,3.4,0.22,36.8,22.0,17.0,5.4,5.7,0.3,8.0,67.0
