,DataCreationDate,County,SiteName,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec
0,2018-03-31 23:00,桃園市,大園,72.0,1.9,0.26,20.0,77.0,26.0,14.0,15.0,0.9,4.8,57.0
1,2018-03-31 23:00,桃園市,龍潭,83.0,1.5,0.27,39.0,37.0,24.0,7.7,9.0,1.3,3.2,70.0
2,2018-03-31 23:00,桃園市,中壢,64.0,2.2,0.86,26.0,65.0,28.0,22.0,42.0,20.0,2.0,302.0
3,2018-03-31 23:00,桃園市,觀音,86.0,5.7,0.28,25.0,86.0,31.0,17.0,17.0,0.3,4.8,80.0
4,2018-03-31 23:00,桃園市,平鎮,69.0,2.0,0.29,39.0,60.0,19.0,9.8,11.0,0.9,5.0,86.0
5,2018-03-31 23:00,桃園市,桃園,63.0,3.8,0.28,34.0,50.0,26.0,8.4,8.9,0.5,3.0,89.0
6,2018-03-31 22:00,桃園市,中壢,64.0,2.5,0.99,22.0,64.0,20,26.0,53.0,27.0,1.8,287.0
7,2018-03-31 22:00,桃園市,觀音,85.0,6.1,0.28,28.0,90.0,31,16.0,17.0,0.5,5.1,80.0
8,2018-03-31 22:00,桃園市,桃園,61.0,3.5,0.27,35.0,53.0,20,7.9,8.2,0.3,3.4,92.0
9,2018-03-31 22:00,桃園市,大園,71.0,1.6,0.25,23.0,74.0,24,13.0,14.0,1.0,4.2,63.0
10,2018-03-31 22:00,桃園市,龍潭,84.0,1.6,0.3,38.0,41.0,33,9.2,11.0,1.7,3.0,55.0
11,2018-03-31 22:00,桃園市,平鎮,73.0,1.9,0.33,38.0,62.0,25,12.0,13.0,1.4,5.1,84.0
12,2018-03-31 21:00,桃園市,觀音,83.0,6.0,0.3,22.0,91.0,31,23.0,24.0,0.9,4.9,80.0
13,2018-03-31 21:00,桃園市,平鎮,71.0,2.0,0.37,36.0,60.0,28,13.0,15.0,1.8,5.0,86.0
14,2018-03-31 21:00,桃園市,大園,73.0,1.7,0.29,19.0,69.0,25,18.0,19.0,1.5,5.1,57.0
15,2018-03-31 21:00,桃園市,桃園,62.0,3.8,0.29,34.0,58.0,19,9.8,9.8,0.0,3.5,91.0
16,2018-03-31 21:00,桃園市,龍潭,80.0,1.5,0.32,35.0,52.0,33,11.0,12.0,1.5,4.1,70.0
17,2018-03-31 21:00,桃園市,中壢,66.0,2.5,1.16,19.0,75.0,25,29.0,58.0,29.0,1.8,283.0
18,2018-03-31 20:00,桃園市,桃園,64.0,3.9,0.34,32.0,60.0,19,12.0,12.0,0.4,3.2,91.0
19,2018-03-31 20:00,桃園市,中壢,64.0,2.3,1.2,19.0,81.0,19,29.0,58.0,30.0,2.1,287.0
20,2018-03-31 20:00,桃園市,觀音,83.0,6.3,0.32,22.0,84.0,32,22.0,23.0,0.8,4.7,79.0
21,2018-03-31 20:00,桃園市,大園,73.0,1.6,0.32,18.0,69.0,26,18.0,19.0,1.4,4.3,49.0
22,2018-03-31 20:00,桃園市,平鎮,66.0,1.8,0.39,35.0,65.0,28,13.0,15.0,1.9,4.3,84.0
23,2018-03-31 20:00,桃園市,龍潭,72.0,1.3,0.32,37.0,60.0,39,9.8,11.0,1.5,3.4,74.0
24,2018-03-31 19:00,桃園市,平鎮,61.0,2.0,0.44,36.0,69.0,32.0,15.0,18.0,2.2,4.5,87.0
25,2018-03-31 19:00,桃園市,觀音,81.0,3.9,0.28,32.0,91.0,33.0,14.0,15.0,0.6,5.6,85.0
26,2018-03-31 19:00,桃園市,中壢,63.0,2.8,1.46,15.0,85.0,20.0,35.0,71.0,36.0,1.9,277.0
27,2018-03-31 19:00,桃園市,大園,70.0,1.6,0.29,22.0,74.0,26.0,17.0,18.0,1.4,5.2,70.0
28,2018-03-31 19:00,桃園市,桃園,62.0,,,,,nan,,,,,
29,2018-03-31 19:00,桃園市,龍潭,63.0,1.2,0.34,38.0,61.0,30.0,11.0,13.0,1.7,4.1,68.0
30,2018-03-31 18:00,桃園市,桃園,61.0,1.8,0.27,39.0,71.0,25,7.1,7.9,0.8,3.3,96.0
31,2018-03-31 18:00,桃園市,中壢,60.0,2.8,1.31,21.0,83.0,17,30.0,59.0,29.0,1.9,304.0
32,2018-03-31 18:00,桃園市,平鎮,54.0,2.0,0.4,40.0,74.0,20,13.0,16.0,2.5,5.0,77.0
33,2018-03-31 18:00,桃園市,龍潭,59.0,1.3,0.33,40.0,58.0,26,9.6,12.0,2.0,5.2,70.0
34,2018-03-31 18:00,桃園市,觀音,79.0,5.7,0.24,36.0,101.0,28,13.0,14.0,0.8,4.4,69.0
35,2018-03-31 18:00,桃園市,大園,72.0,1.7,0.23,21.0,76.0,33,23.0,25.0,2.7,6.6,77.0
36,2018-03-31 17:00,桃園市,大園,74.0,1.9,0.2,26.0,80.0,29,19.0,22.0,2.3,8.5,86.0
37,2018-03-31 17:00,桃園市,觀音,76.0,4.1,0.23,40.0,102.0,32,9.5,11.0,1.2,6.0,66.0
38,2018-03-31 17:00,桃園市,平鎮,52.0,2.1,0.33,42.0,71.0,20,12.0,14.0,2.5,4.8,70.0
39,2018-03-31 17:00,桃園市,桃園,55.0,1.6,0.23,41.0,82.0,27,6.0,6.9,0.9,3.5,85.0
40,2018-03-31 17:00,桃園市,龍潭,54.0,1.2,0.26,45.0,55.0,13,6.3,8.4,2.2,6.1,67.0
41,2018-03-31 17:00,桃園市,中壢,57.0,,,,72.0,19,,,,1.5,336.0
42,2018-03-31 16:00,桃園市,桃園,45.0,1.3,0.2,43.0,75.0,20.0,5.4,6.5,1.1,4.4,91.0
43,2018-03-31 16:00,桃園市,大園,73.0,1.7,0.19,30.0,111.0,21.0,15.0,17.0,1.8,7.6,67.0
44,2018-03-31 16:00,桃園市,龍潭,58.0,1.4,0.26,47.0,45.0,17.0,,,,5.7,63.0
45,2018-03-31 16:00,桃園市,平鎮,49.0,1.9,0.28,46.0,66.0,17.0,9.8,12.0,2.2,5.6,79.0
46,2018-03-31 16:00,桃園市,觀音,70.0,5.4,0.22,42.0,98.0,28.0,9.1,10.0,1.3,6.2,69.0
47,2018-03-31 16:00,桃園市,中壢,55.0,,,,,nan,,,,,
48,2018-03-31 15:00,桃園市,觀音,67.0,5.1,0.22,46.0,81.0,30.0,7.8,9.2,1.4,7.3,53.0
49,2018-03-31 15:00,桃園市,大園,66.0,1.7,0.2,32.0,117.0,19.0,13.0,14.0,1.5,9.3,78.0
50,2018-03-31 15:00,桃園市,中壢,54.0,,,31.0,71.0,19.0,,,,2.0,275.0
51,2018-03-31 15:00,桃園市,平鎮,46.0,1.8,0.25,48.0,61.0,18.0,9.2,12.0,2.4,6.8,81.0
52,2018-03-31 15:00,桃園市,桃園,41.0,1.4,0.19,45.0,60.0,19.0,3.9,5.0,1.1,4.8,107.0
53,2018-03-31 15:00,桃園市,龍潭,59.0,1.2,0.22,,,nan,4.6,6.6,2.0,6.8,68.0
54,2018-03-31 14:00,桃園市,桃園,36.0,1.4,0.2,45.0,43.0,9,4.2,5.6,1.5,2.7,113.0
55,2018-03-31 14:00,桃園市,平鎮,46.0,1.7,0.26,49.0,55.0,8,8.6,11.0,2.4,6.0,76.0
56,2018-03-31 14:00,桃園市,觀音,63.0,2.7,0.2,48.0,85.0,21,6.3,7.3,1.0,9.8,47.0
57,2018-03-31 14:00,桃園市,龍潭,58.0,1.2,0.23,51.0,49.0,15,4.3,6.3,2.0,6.4,71.0
58,2018-03-31 14:00,桃園市,大園,59.0,1.8,0.19,30.0,111.0,18,15.0,17.0,1.7,8.7,86.0
59,2018-03-31 14:00,桃園市,中壢,52.0,2.3,0.71,32.0,68.0,15,23.0,43.0,20.0,2.0,289.0
60,2018-03-31 13:00,桃園市,大園,50.0,2.0,0.21,33.0,82.0,18.0,13.0,14.0,1.2,8.6,83.0
61,2018-03-31 13:00,桃園市,平鎮,49.0,1.8,0.28,50.0,51.0,18.0,8.4,11.0,2.2,6.4,77.0
62,2018-03-31 13:00,桃園市,中壢,49.0,2.2,0.74,35.0,67.0,11.0,23.0,41.0,18.0,2.3,287.0
63,2018-03-31 13:00,桃園市,龍潭,59.0,1.4,0.25,51.0,50.0,21.0,4.9,7.2,2.3,6.8,75.0
64,2018-03-31 13:00,桃園市,桃園,36.0,,,45.0,40.0,8.0,,,,4.4,110.0
65,2018-03-31 13:00,桃園市,觀音,62.0,2.8,0.23,48.0,78.0,21.0,7.8,9.2,1.4,6.2,81.0
66,2018-03-31 12:00,桃園市,平鎮,45.0,2.1,0.29,52.0,51.0,18.0,8.6,11.0,2.1,6.3,80.0
67,2018-03-31 12:00,桃園市,觀音,61.0,5.4,0.21,43.0,87.0,21.0,9.2,11.0,1.7,7.0,67.0
68,2018-03-31 12:00,桃園市,龍潭,56.0,1.6,0.27,52.0,46.0,17.0,5.9,8.3,2.4,7.0,63.0
69,2018-03-31 12:00,桃園市,大園,44.0,1.8,0.22,29.0,65.0,13.0,15.0,16.0,1.0,7.8,66.0
70,2018-03-31 12:00,桃園市,桃園,37.0,1.9,0.21,,,nan,5.0,5.7,0.6,5.0,98.0
71,2018-03-31 12:00,桃園市,中壢,46.0,2.4,0.77,35.0,56.0,9.0,25.0,43.0,18.0,2.5,292.0
72,2018-03-31 11:00,桃園市,觀音,61.0,4.1,0.23,45.0,72.0,20.0,9.7,12.0,1.9,6.6,69.0
73,2018-03-31 11:00,桃園市,龍潭,57.0,1.4,0.27,50.0,42.0,16.0,5.3,7.6,2.2,4.8,80.0
74,2018-03-31 11:00,桃園市,平鎮,41.0,2.2,0.3,51.0,50.0,20.0,9.2,12.0,2.6,6.4,79.0
75,2018-03-31 11:00,桃園市,中壢,44.0,2.4,0.67,34.0,58.0,9.0,24.0,43.0,19.0,2.1,16.0
76,2018-03-31 11:00,桃園市,桃園,42.0,2.0,0.23,46.0,41.0,3.0,6.8,7.9,1.1,4.1,88.0
77,2018-03-31 11:00,桃園市,大園,43.0,1.8,0.23,29.0,57.0,15.0,14.0,15.0,0.9,7.1,64.0
78,2018-03-31 10:00,桃園市,龍潭,59.0,1.5,0.28,47.0,36.0,20,6.5,9.1,2.5,6.3,73.0
79,2018-03-31 10:00,桃園市,平鎮,37.0,2.1,0.33,47.0,45.0,12,11.0,13.0,2.7,6.3,82.0
80,2018-03-31 10:00,桃園市,大園,43.0,1.5,0.26,25.0,40.0,17,17.0,19.0,1.3,7.1,70.0
81,2018-03-31 10:00,桃園市,桃園,49.0,2.5,0.25,43.0,46.0,13,6.6,8.0,1.4,3.4,88.0
82,2018-03-31 10:00,桃園市,中壢,42.0,2.5,0.78,31.0,54.0,7,25.0,47.0,22.0,2.2,347.0
83,2018-03-31 10:00,桃園市,觀音,62.0,6.0,0.23,39.0,70.0,17,12.0,15.0,2.6,6.0,71.0
