,DataCreationDate,County,SiteName,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec
0,2021-12-17 11:00,桃園市,龍潭,59,0.9,0.42,33.3,38.0,21.0,12.0,13.8,1.7,4.4,40
1,2021-12-17 11:00,桃園市,中壢,60,1.4,0.6,18.9,45.0,24.0,25.8,41.4,15.5,2,355
2,2021-12-17 11:00,桃園市,桃園,58,1.0,0.45,33.3,42.0,21.0,11.8,13.7,1.9,4,32
3,2021-12-17 11:00,桃園市,大園,53,1.0,0.41,38.5,48.0,23.0,8.8,12.3,3.5,8.1,87
4,2021-12-17 11:00,桃園市,平鎮,60,1.1,0.45,32.3,45.0,24.0,14.4,16.8,2.4,4.4,33
5,2021-12-17 11:00,桃園市,觀音,48,1.0,0.37,38.1,52.0,22.0,6.8,7.6,0.8,9.2,49
6,2021-12-17 10:00,桃園市,觀音,42,1.1,0.34,34.8,49.0,13.0,7.5,8.4,0.9,9.1,47
7,2021-12-17 10:00,桃園市,龍潭,56,0.9,0.43,33.0,36.0,19.0,11.5,13.1,1.5,4.8,43
8,2021-12-17 10:00,桃園市,平鎮,56,1.0,0.47,28.6,39.0,20.0,15.0,17.5,2.4,3.8,35
9,2021-12-17 10:00,桃園市,大園,46,1.0,0.38,35.7,39.0,18.0,8.4,12.1,3.7,9.8,81
10,2021-12-17 10:00,桃園市,桃園,56,0.8,0.45,31.0,38.0,15.0,11.6,13.3,1.7,4.3,37
11,2021-12-17 10:00,桃園市,中壢,58,1.3,0.57,17.8,47.0,18.0,23.9,39.8,15.8,1.7,324
12,2021-12-17 09:00,桃園市,大園,44,0.9,0.38,35.7,35,14,8.7,12,3.2,9.6,83
13,2021-12-17 09:00,桃園市,龍潭,59,0.8,0.41,33.3,26,14,10.5,11.8,1.3,5.1,44
14,2021-12-17 09:00,桃園市,觀音,42,1.4,0.34,35.3,30,16,6.9,7.8,0.8,8.4,49
15,2021-12-17 09:00,桃園市,平鎮,55,1,0.49,29.6,34,17,14.2,17,2.8,3.3,30
16,2021-12-17 09:00,桃園市,桃園,57,0.8,0.49,31,30,14,11.7,13.5,1.8,4.5,38
17,2021-12-17 09:00,桃園市,中壢,58,1.5,0.69,15.3,37,18,27,42.2,15.1,1.7,349
18,2021-12-17 08:00,桃園市,觀音,39,1,0.31,36.2,28,10,5.7,6.4,0.7,7.9,48
19,2021-12-17 08:00,桃園市,桃園,60,1.1,0.5,31.2,23,11,10.7,12.5,1.8,3.3,36
20,2021-12-17 08:00,桃園市,中壢,61,1.5,0.79,14.4,34,14,27.5,47,19.4,1.5,355
21,2021-12-17 08:00,桃園市,大園,43,1.1,0.34,36.8,23,16,7.4,10.3,2.8,7.4,85
22,2021-12-17 08:00,桃園市,龍潭,67,1.1,0.38,32.4,21,8,12.1,13.5,1.3,3.9,44
23,2021-12-17 08:00,桃園市,平鎮,56,0.8,0.5,27.8,25,14,15.8,18.3,2.5,3.1,37
24,2021-12-17 07:00,桃園市,龍潭,76,1.3,0.33,31.4,21,8,8.9,9.6,0.7,3,45
25,2021-12-17 07:00,桃園市,中壢,66,1.4,0.49,20.1,26,13,22.1,34.3,12.1,1.4,4
26,2021-12-17 07:00,桃園市,觀音,44,1.3,0.27,37.1,27,11,5.3,5.9,0.5,6.4,44
27,2021-12-17 07:00,桃園市,大園,44,0.9,0.31,38.9,21,11,5.3,7.4,2,7.7,83
28,2021-12-17 07:00,桃園市,平鎮,61,1.1,0.38,31.4,24,11,12.2,13.6,1.4,3.3,36
29,2021-12-17 07:00,桃園市,桃園,67,1,0.37,32.8,25,15,8.6,9.8,1.1,3.1,26
30,2021-12-17 06:00,桃園市,龍潭,87,3.5,0.34,25.7,29,19,12.1,13.1,1,3.1,39
31,2021-12-17 06:00,桃園市,中壢,72,1.6,0.33,21.9,26,16,15.5,23.4,7.8,1.3,320
32,2021-12-17 06:00,桃園市,桃園,71,0.9,0.33,32.6,22,13,6.5,7.2,0.7,2.7,29
33,2021-12-17 06:00,桃園市,大園,47,1,0.29,39.4,22,10,4.1,5.5,1.4,5.8,84
34,2021-12-17 06:00,桃園市,平鎮,69,0.9,0.37,31.1,24,12,10.5,11.5,1,3.1,37
35,2021-12-17 06:00,桃園市,觀音,47,1.2,0.26,38.7,22,10,4.2,4.7,0.4,5.9,48
36,2021-12-17 05:00,桃園市,中壢,77,1.6,0.34,21.6,26,17,11.9,15.2,3.3,0.7,345
37,2021-12-17 05:00,桃園市,平鎮,75,1.1,0.38,25.9,28,16,12,13.1,1.1,2.7,31
38,2021-12-17 05:00,桃園市,大園,53,1.2,0.29,36.8,26,11,5,6.1,1.1,6.1,83
39,2021-12-17 05:00,桃園市,觀音,54,2,0.26,33.9,28,10,6.1,6.4,0.3,5.8,47
40,2021-12-17 05:00,桃園市,桃園,80,1,0.31,29.6,22,15,6.9,7.3,0.4,2.4,44
41,2021-12-17 05:00,桃園市,龍潭,92,3.4,0.43,16,46,28,16.8,17.5,0.7,2.6,59
42,2021-12-17 04:00,桃園市,中壢,82,1.6,0.37,21.7,42,22,10.8,13.5,2.7,0.6,346
43,2021-12-17 04:00,桃園市,大園,55,1.2,0.29,35.9,33,14,5,6.1,1.1,4.8,85
44,2021-12-17 04:00,桃園市,桃園,88,1.9,0.36,26.3,25,21,10.7,11.4,0.6,2.1,54
45,2021-12-17 04:00,桃園市,龍潭,93,1.9,0.36,26,43,23,12.5,13.1,0.6,2.5,55
46,2021-12-17 04:00,桃園市,平鎮,79,1.3,0.41,24.5,32,21,13.1,14.1,0.9,1.8,34
47,2021-12-17 04:00,桃園市,觀音,56,5.6,0.28,32.7,30,15,7.5,7.9,0.3,5.6,53
48,2021-12-17 03:00,桃園市,大園,54,1.5,0.33,32.7,31,15,6.8,8,1.1,4.5,82
49,2021-12-17 03:00,桃園市,中壢,82,1.5,0.35,24.4,40,24,10.7,13.4,2.7,0.8,354
50,2021-12-17 03:00,桃園市,觀音,55,4.4,0.31,29.1,40,16,8.2,8.6,0.4,3.5,53
51,2021-12-17 03:00,桃園市,桃園,93,4.4,0.41,27.2,39,24,11.6,12.3,0.6,1.1,36
52,2021-12-17 03:00,桃園市,平鎮,82,0.9,0.38,27.1,39,27,10.8,11.7,0.8,1.7,41
53,2021-12-17 03:00,桃園市,龍潭,95,1.9,0.34,28.2,42,30,15.6,16.2,0.6,1.6,46
54,2021-12-17 02:00,桃園市,平鎮,82,1.2,0.38,31.2,36,22,11.1,12.2,1,2,30
55,2021-12-17 02:00,桃園市,桃園,94,15.9,0.52,19.6,47,35,22.9,23.9,0.9,1.5,36
56,2021-12-17 02:00,桃園市,觀音,54,1.4,0.31,36.2,38,24,4.8,5.1,0.3,4.9,57
57,2021-12-17 02:00,桃園市,龍潭,95,2.3,0.33,33.8,38,30,14.8,15.5,0.7,2.1,61
58,2021-12-17 02:00,桃園市,大園,55,1.2,0.34,35.5,37,21,5.6,6.7,1,4,87
59,2021-12-17 02:00,桃園市,中壢,85,1.9,0.46,26.2,38,24,14.6,17.8,3.1,0.7,354
60,2021-12-17 01:00,桃園市,中壢,90,1.6,0.63,26.4,40,29,17.7,20.6,2.9,1,31
61,2021-12-17 01:00,桃園市,桃園,93,4.2,0.58,18.9,47,35,21.3,22.1,0.8,0.9,90
62,2021-12-17 01:00,桃園市,龍潭,102,1.8,0.55,21.2,57,33,25.3,26.1,0.7,1.9,50
63,2021-12-17 01:00,桃園市,大園,56,1.4,0.23,39.6,29,15,4.5,5.4,0.9,6.8,79
64,2021-12-17 01:00,桃園市,觀音,52,1.3,0.18,40.5,25,15,3.4,3.9,0.5,5.1,44
65,2021-12-17 01:00,桃園市,平鎮,85,0.9,0.42,33.6,42,28,15.1,15.7,0.5,1.8,28
66,2021-12-17 00:00,桃園市,觀音,51,0.5,0.17,42.2,19,9,4.1,4.6,0.5,4.4,43
