,DataCreationDate,County,SiteName,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec
0,2018-10-31 23:00,桃園市,龍潭,48.0,1.2,0.18,59.0,15.0,10.0,2.6,4.2,1.6,8.3,78.0
1,2018-10-31 23:00,桃園市,平鎮,41.0,2.2,0.27,54.0,28.0,11.0,7.6,8.1,0.6,6.0,79.0
2,2018-10-31 23:00,桃園市,中壢,35.0,3.3,0.67,36.0,37.0,14.0,20.0,30.0,9.9,1.6,342.0
3,2018-10-31 23:00,桃園市,桃園,44.0,3.5,0.3,46.0,25.0,17.0,8.4,9.9,1.5,4.0,67.0
4,2018-10-31 23:00,桃園市,觀音,62.0,2.8,0.28,45.0,22.0,20.0,11.0,11.0,0.6,8.6,84.0
5,2018-10-31 23:00,桃園市,大園,46.0,2.1,0.29,47.0,13.0,13.0,12.0,12.0,0.2,4.9,65.0
6,2018-10-31 22:00,桃園市,桃園,43.0,3.9,0.33,44.0,27.0,12,10.0,12.0,1.5,3.8,72.0
7,2018-10-31 22:00,桃園市,平鎮,40.0,2.9,0.29,53.0,39.0,9,9.2,10.0,0.9,5.5,75.0
8,2018-10-31 22:00,桃園市,觀音,61.0,3.7,0.24,55.0,28.0,21,7.5,8.2,0.7,8.0,89.0
9,2018-10-31 22:00,桃園市,中壢,35.0,2.8,0.93,33.0,38.0,13,25.0,41.0,17.0,2.4,292.0
10,2018-10-31 22:00,桃園市,大園,46.0,1.7,0.27,51.0,30.0,12,11.0,11.0,0.1,6.1,71.0
11,2018-10-31 22:00,桃園市,龍潭,47.0,1.3,0.2,60.0,21.0,10,3.7,5.4,1.8,8.3,73.0
12,2018-10-31 21:00,桃園市,觀音,60.0,3.3,0.24,52.0,41.0,20.0,9.1,9.7,0.6,9.4,82.0
13,2018-10-31 21:00,桃園市,桃園,44.0,4.7,0.39,42.0,37.0,14.0,13.0,15.0,1.8,3.3,68.0
14,2018-10-31 21:00,桃園市,平鎮,39.0,2.3,0.37,50.0,39.0,13.0,13.0,15.0,1.3,5.3,78.0
15,2018-10-31 21:00,桃園市,大園,45.0,2.0,0.25,53.0,26.0,12.0,11.0,11.0,0.2,5.9,55.0
16,2018-10-31 21:00,桃園市,中壢,34.0,4.0,0.97,30.0,49.0,9.0,28.0,44.0,16.0,2.1,294.0
17,2018-10-31 21:00,桃園市,龍潭,46.0,1.7,0.26,56.0,32.0,14.0,7.4,9.3,1.9,9.1,70.0
18,2018-10-31 20:00,桃園市,大園,49.0,2.7,0.27,55.0,35.0,10,13.0,13.0,0.4,6.2,55.0
19,2018-10-31 20:00,桃園市,龍潭,46.0,1.8,0.26,57.0,33.0,10,7.1,9.0,1.9,6.6,65.0
20,2018-10-31 20:00,桃園市,觀音,61.0,2.5,0.24,55.0,44.0,20,8.1,8.8,0.7,8.5,84.0
21,2018-10-31 20:00,桃園市,中壢,36.0,4.7,1.31,19.0,36.0,3,38.0,62.0,24.0,1.4,295.0
22,2018-10-31 20:00,桃園市,平鎮,39.0,3.3,0.5,41.0,39.0,17,20.0,21.0,1.5,4.4,78.0
23,2018-10-31 20:00,桃園市,桃園,42.0,6.0,0.58,32.0,34.0,14,22.0,25.0,2.4,3.2,58.0
24,2018-10-31 19:00,桃園市,龍潭,45.0,2.2,0.28,50.0,31.0,13.0,12.0,14.0,2.1,7.0,72.0
25,2018-10-31 19:00,桃園市,桃園,41.0,5.1,0.7,27.0,36.0,17.0,26.0,29.0,2.5,2.5,61.0
26,2018-10-31 19:00,桃園市,平鎮,39.0,2.3,0.58,36.0,36.0,18.0,25.0,26.0,1.9,4.8,84.0
27,2018-10-31 19:00,桃園市,中壢,42.0,4.7,1.81,11.0,35.0,8.0,45.0,88.0,43.0,1.5,293.0
28,2018-10-31 19:00,桃園市,大園,52.0,2.8,0.3,51.0,34.0,16.0,16.0,16.0,0.0,5.8,49.0
29,2018-10-31 19:00,桃園市,觀音,62.0,2.4,0.23,54.0,47.0,19.0,9.8,11.0,0.9,7.6,82.0
30,2018-10-31 18:00,桃園市,桃園,37.0,4.5,0.7,26.0,29.0,14.0,27.0,30.0,3.1,2.2,62.0
31,2018-10-31 18:00,桃園市,中壢,42.0,3.7,1.73,12.0,35.0,8.0,44.0,82.0,38.0,1.3,318.0
32,2018-10-31 18:00,桃園市,大園,51.0,2.3,0.32,44.0,42.0,15.0,17.0,18.0,0.7,3.9,54.0
33,2018-10-31 18:00,桃園市,龍潭,45.0,2.2,0.34,41.0,20.0,10.0,19.0,21.0,2.5,5.9,58.0
34,2018-10-31 18:00,桃園市,觀音,63.0,5.3,0.32,41.0,39.0,17.0,22.0,23.0,1.2,6.2,84.0
35,2018-10-31 18:00,桃園市,平鎮,41.0,2.0,0.56,36.0,38.0,9.0,25.0,27.0,2.1,3.6,81.0
36,2018-10-31 17:00,桃園市,龍潭,47.0,1.8,0.24,48.0,21.0,13.0,11.0,13.0,2.2,5.3,65.0
37,2018-10-31 17:00,桃園市,大園,47.0,2.0,0.27,49.0,45.0,23.0,16.0,17.0,1.0,3.8,76.0
38,2018-10-31 17:00,桃園市,桃園,34.0,4.1,0.52,28.0,31.0,13.0,24.0,27.0,3.2,2.2,65.0
39,2018-10-31 17:00,桃園市,中壢,40.0,2.8,1.31,14.0,40.0,4.0,42.0,75.0,34.0,1.1,330.0
40,2018-10-31 17:00,桃園市,觀音,63.0,5.3,0.26,46.0,35.0,21.0,17.0,18.0,1.2,6.1,85.0
41,2018-10-31 17:00,桃園市,平鎮,43.0,2.4,0.42,37.0,32.0,4.0,21.0,24.0,2.2,3.9,76.0
42,2018-10-31 16:00,桃園市,桃園,36.0,4.0,0.41,34.0,28.0,10,18.0,20.0,2.1,2.0,67.0
43,2018-10-31 16:00,桃園市,觀音,61.0,4.1,0.24,49.0,40.0,22,11.0,12.0,0.9,6.6,86.0
44,2018-10-31 16:00,桃園市,平鎮,44.0,3.1,0.35,43.0,29.0,ND,16.0,17.0,1.2,3.7,79.0
45,2018-10-31 16:00,桃園市,大園,44.0,2.4,0.24,50.0,42.0,18,14.0,15.0,1.3,4.9,60.0
46,2018-10-31 16:00,桃園市,中壢,37.0,3.5,1.29,16.0,33.0,ND,39.0,78.0,38.0,1.6,283.0
47,2018-10-31 16:00,桃園市,龍潭,48.0,1.8,0.2,49.0,22.0,16,8.9,11.0,2.2,6.3,61.0
48,2018-10-31 15:00,桃園市,大園,45.0,2.4,0.22,48.0,45.0,16,15.0,17.0,1.6,6.6,50.0
49,2018-10-31 15:00,桃園市,中壢,30.0,3.3,1.01,22.0,32.0,ND,30.0,53.0,23.0,1.9,290.0
50,2018-10-31 15:00,桃園市,龍潭,49.0,1.7,0.2,50.0,26.0,9,8.6,11.0,2.6,7.2,57.0
51,2018-10-31 15:00,桃園市,平鎮,45.0,2.1,0.32,45.0,29.0,5,14.0,15.0,1.4,4.5,83.0
52,2018-10-31 15:00,桃園市,桃園,37.0,,,,19.0,10,,,,3.1,64.0
53,2018-10-31 15:00,桃園市,觀音,61.0,2.5,0.21,51.0,41.0,22,8.8,9.5,0.7,7.8,86.0
54,2018-10-31 14:00,桃園市,龍潭,50.0,1.7,0.2,51.0,26.0,10,7.4,10.0,2.8,8.2,61.0
55,2018-10-31 14:00,桃園市,平鎮,47.0,1.7,0.28,48.0,32.0,8,11.0,13.0,2.1,5.2,76.0
56,2018-10-31 14:00,桃園市,桃園,38.0,4.0,0.29,39.0,23.0,10,11.0,14.0,2.2,3.2,72.0
57,2018-10-31 14:00,桃園市,觀音,61.0,2.0,0.19,53.0,45.0,15,5.8,6.4,0.6,7.5,71.0
58,2018-10-31 14:00,桃園市,大園,47.0,4.0,0.24,41.0,47.0,6,22.0,27.0,4.6,7.2,34.0
59,2018-10-31 14:00,桃園市,中壢,30.0,2.2,0.77,28.0,31.0,7,24.0,44.0,19.0,1.6,311.0
60,2018-10-31 13:00,桃園市,平鎮,49.0,1.8,0.31,47.0,35.0,8,13.0,15.0,2.3,4.9,70.0
61,2018-10-31 13:00,桃園市,龍潭,54.0,2.0,0.21,51.0,32.0,12,8.0,11.0,3.0,9.6,59.0
