,DataCreationDate,County,SiteName,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec
0,2021-09-30 23:00,桃園市,龍潭,48.0,1.2,0.25,19.5,21.0,11.0,12.3,13.1,0.8,1.1,113.0
1,2021-09-30 23:00,桃園市,中壢,47.0,1.6,1.01,10.6,22.0,13.0,22.5,40.2,17.6,0.5,254.0
2,2021-09-30 23:00,桃園市,桃園,46.0,2.6,0.36,26.1,25.0,10.0,15.2,15.7,0.5,0.9,51.0
3,2021-09-30 23:00,桃園市,平鎮,45.0,0.9,0.32,19.9,22.0,12.0,14.8,16.3,1.4,2.0,88.0
4,2021-09-30 23:00,桃園市,大園,38.0,3.9,0.3,21.2,27.0,13.0,18.7,19.6,0.9,2.0,132.0
5,2021-09-30 23:00,桃園市,觀音,54.0,5.5,0.32,5.1,28.0,22.0,31.2,32.3,1.0,1.4,104.0
6,2021-09-30 22:00,桃園市,桃園,51.0,7.7,0.44,24.3,27.0,13.0,17.4,18.2,0.7,0.8,56.0
7,2021-09-30 22:00,桃園市,觀音,50.0,5.2,0.35,8.2,31.0,20.0,27.0,27.8,0.8,1.2,81.0
8,2021-09-30 22:00,桃園市,中壢,50.0,2.4,1.4,8.1,23.0,14.0,30.3,55.7,25.3,0.5,281.0
9,2021-09-30 22:00,桃園市,大園,37.0,5.1,0.26,16.6,25.0,14.0,21.9,24.6,2.7,1.6,97.0
10,2021-09-30 22:00,桃園市,平鎮,49.0,1.5,0.37,23.9,19.0,10.0,13.9,15.3,1.4,1.6,94.0
11,2021-09-30 22:00,桃園市,龍潭,54.0,1.3,0.29,20.4,25.0,10.0,14.4,15.5,1.1,0.8,126.0
12,2021-09-30 21:00,桃園市,大園,52.0,5.0,0.34,5.8,30.0,13.0,32.3,36.9,4.6,1.9,26.0
13,2021-09-30 21:00,桃園市,觀音,47.0,4.2,0.31,14.0,31.0,15.0,22.0,22.7,0.6,1.5,81.0
14,2021-09-30 21:00,桃園市,龍潭,55.0,1.6,0.33,21.9,23.0,16.0,15.4,16.3,0.9,0.9,68.0
15,2021-09-30 21:00,桃園市,桃園,51.0,20.3,0.5,16.1,24.0,19.0,22.2,23.5,1.3,1.7,82.0
16,2021-09-30 21:00,桃園市,中壢,51.0,2.1,1.35,6.6,27.0,15.0,31.6,62.1,30.4,0.4,316.0
