,DataCreationDate,County,SiteName,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec
0,2021-11-30 23:00,桃園市,大園,72.0,1.2,0.32,43.2,48.0,25.0,4.8,6.2,1.4,7.7,73.0
1,2021-11-30 23:00,桃園市,中壢,85.0,1.1,0.41,32.6,56.0,26.0,13.4,17.7,4.3,2.0,353.0
2,2021-11-30 23:00,桃園市,平鎮,88.0,1.4,0.35,38.2,53.0,29.0,10.0,10.6,0.5,3.9,36.0
3,2021-11-30 23:00,桃園市,龍潭,83.0,1.0,0.39,38.2,45.0,29.0,7.3,7.7,0.4,3.7,63.0
4,2021-11-30 23:00,桃園市,桃園,76.0,0.7,0.37,39.7,48.0,24.0,9.1,10.5,1.4,4.0,41.0
5,2021-11-30 23:00,桃園市,觀音,82.0,3.3,0.29,40.9,56.0,32.0,5.2,5.5,0.2,7.6,62.0
6,2021-11-30 22:00,桃園市,觀音,83.0,1.6,0.32,40.1,63.0,29.0,5.4,5.6,0.2,8.6,54.0
7,2021-11-30 22:00,桃園市,桃園,79.0,0.7,0.43,37.6,48.0,31.0,10.5,12.2,1.7,4.1,42.0
8,2021-11-30 22:00,桃園市,大園,72.0,1.1,0.36,41.8,50.0,29.0,5.2,6.9,1.7,8.9,75.0
9,2021-11-30 22:00,桃園市,龍潭,83.0,0.9,0.4,40.5,49.0,34.0,7.6,7.9,0.3,5.5,43.0
10,2021-11-30 22:00,桃園市,中壢,90.0,1.3,0.61,26.5,50.0,32.0,18.7,26.5,7.7,1.6,356.0
11,2021-11-30 22:00,桃園市,平鎮,89.0,1.3,0.42,36.5,54.0,37.0,11.3,12.3,0.9,4.2,29.0
12,2021-11-30 21:00,桃園市,龍潭,81.0,0.8,0.44,43.2,47.0,32.0,8.6,8.9,0.3,6.1,45.0
13,2021-11-30 21:00,桃園市,觀音,84.0,2.3,0.35,44.0,57.0,33.0,6.0,6.3,0.3,7.5,52.0
14,2021-11-30 21:00,桃園市,桃園,78.0,0.8,0.47,40.7,48.0,33.0,10.3,11.6,1.2,3.4,38.0
15,2021-11-30 21:00,桃園市,中壢,90.0,1.4,0.61,28.2,53.0,32.0,20.3,27.6,7.3,1.6,338.0
16,2021-11-30 21:00,桃園市,大園,73.0,1.0,0.39,44.9,49.0,26.0,6.1,7.6,1.5,8.5,70.0
17,2021-11-30 21:00,桃園市,平鎮,86.0,1.4,0.46,40.7,53.0,36.0,11.7,12.8,1.0,3.2,47.0
18,2021-11-30 20:00,桃園市,大園,73.0,1.1,0.41,44.3,45.0,26.0,6.4,7.9,1.5,7.5,69.0
19,2021-11-30 20:00,桃園市,桃園,75.0,0.6,0.58,39.5,44.0,26.0,12.7,14.0,1.3,4.5,35.0
20,2021-11-30 20:00,桃園市,龍潭,74.0,0.7,0.46,40.3,53.0,39.0,12.9,13.8,0.8,5.7,49.0
21,2021-11-30 20:00,桃園市,觀音,81.0,3.8,0.37,42.1,47.0,35.0,6.8,7.1,0.3,7.6,52.0
22,2021-11-30 20:00,桃園市,中壢,87.0,1.3,0.69,25.3,54.0,36.0,24.7,36.5,11.8,1.7,9.0
23,2021-11-30 20:00,桃園市,平鎮,79.0,1.6,0.48,38.3,49.0,35.0,15.5,16.8,1.3,4.6,32.0
24,2021-11-30 19:00,桃園市,龍潭,65.0,1.2,0.52,37.0,54.0,37.0,16.8,17.8,1.0,3.1,65.0
25,2021-11-30 19:00,桃園市,大園,67.0,1.2,0.4,48.5,55.0,34.0,10.8,12.9,2.0,8.5,71.0
26,2021-11-30 19:00,桃園市,桃園,68.0,0.8,0.53,45.6,60.0,40.0,14.7,16.1,1.4,2.8,37.0
27,2021-11-30 19:00,桃園市,平鎮,76.0,1.6,0.52,44.1,63.0,42.0,16.4,17.7,1.3,3.0,57.0
