,DataCreationDate,County,SiteName,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec
0,2019-05-31 23:00,桃園市,大園,55.0,9.5,0.21,22.0,26.0,6,24.0,27.0,3.0,1.4,21.0
1,2019-05-31 23:00,桃園市,觀音,43.0,6.2,0.21,33.0,28.0,14,8.0,9.4,1.4,1.8,75.0
2,2019-05-31 23:00,桃園市,龍潭,69.0,4.6,0.57,11.0,51.0,30,30.0,33.0,3.1,1.3,49.0
3,2019-05-31 23:00,桃園市,平鎮,54.0,6.8,0.58,6.3,34.0,10,40.0,46.0,6.2,1.8,90.0
4,2019-05-31 23:00,桃園市,桃園,48.0,11.0,0.71,13.0,40.0,19,27.0,28.0,1.4,1.5,59.0
5,2019-05-31 23:00,桃園市,中壢,68.0,5.4,1.42,2.8,34.0,17,38.0,65.0,27.0,0.8,302.0
6,2019-05-31 22:00,桃園市,龍潭,62.0,4.6,0.58,17.0,45.0,29.0,29.0,31.0,2.1,1.1,117.0
7,2019-05-31 22:00,桃園市,平鎮,55.0,6.0,0.51,12.0,30.0,19.0,35.0,39.0,3.8,1.4,28.0
8,2019-05-31 22:00,桃園市,大園,61.0,6.7,0.21,27.0,26.0,13.0,21.0,24.0,2.1,3.5,27.0
9,2019-05-31 22:00,桃園市,中壢,71.0,4.8,1.06,3.3,34.0,18.0,40.0,58.0,18.0,0.7,13.0
10,2019-05-31 22:00,桃園市,桃園,48.0,7.2,0.65,13.0,29.0,12.0,27.0,29.0,1.9,1.8,64.0
11,2019-05-31 22:00,桃園市,觀音,44.0,4.3,0.24,34.0,29.0,10.0,9.8,11.0,1.5,1.9,68.0
12,2019-05-31 21:00,桃園市,桃園,51.0,6.8,0.48,19.0,21.0,13,22.0,23.0,1.2,1.0,18.0
13,2019-05-31 21:00,桃園市,龍潭,57.0,5.0,0.53,23.0,46.0,21,28.0,30.0,1.9,1.4,346.0
14,2019-05-31 21:00,桃園市,觀音,46.0,6.2,0.28,35.0,32.0,12,12.0,14.0,1.7,1.4,78.0
15,2019-05-31 21:00,桃園市,中壢,70.0,3.7,0.99,8.4,28.0,23,36.0,51.0,14.0,0.6,346.0
16,2019-05-31 21:00,桃園市,平鎮,54.0,3.5,0.44,22.0,22.0,16,25.0,28.0,2.6,0.6,16.0
17,2019-05-31 21:00,桃園市,大園,62.0,5.6,0.23,30.0,23.0,16,24.0,27.0,2.9,2.2,18.0
18,2019-05-31 20:00,桃園市,龍潭,57.0,4.8,0.54,25.0,47.0,19,27.0,28.0,1.4,1.8,14.0
19,2019-05-31 20:00,桃園市,觀音,48.0,4.2,0.2,44.0,24.0,9,5.1,6.6,1.4,1.4,85.0
20,2019-05-31 20:00,桃園市,平鎮,56.0,4.5,0.35,30.0,30.0,16,23.0,25.0,2.1,1.6,47.0
21,2019-05-31 20:00,桃園市,中壢,67.0,3.6,0.7,21.0,27.0,28,29.0,38.0,9.1,0.9,32.0
22,2019-05-31 20:00,桃園市,桃園,52.0,5.3,0.43,23.0,20.0,13,20.0,21.0,1.1,1.2,32.0
23,2019-05-31 20:00,桃園市,大園,63.0,3.5,0.18,43.0,20.0,22,12.0,14.0,2.1,4.0,27.0
24,2019-05-31 19:00,桃園市,大園,61.0,4.2,0.17,42.0,25.0,22,14.0,17.0,2.7,2.9,24.0
25,2019-05-31 19:00,桃園市,桃園,53.0,5.4,0.41,26.0,23.0,17,20.0,21.0,1.0,1.3,341.0
26,2019-05-31 19:00,桃園市,平鎮,57.0,4.2,0.47,32.0,32.0,11,25.0,28.0,2.6,1.8,21.0
27,2019-05-31 19:00,桃園市,中壢,65.0,4.2,0.71,21.0,32.0,23,31.0,39.0,8.6,1.0,7.5
28,2019-05-31 19:00,桃園市,觀音,50.0,2.9,0.18,52.0,25.0,13,4.5,5.8,1.3,2.7,45.0
29,2019-05-31 19:00,桃園市,龍潭,60.0,2.0,0.35,35.0,23.0,10,11.0,12.0,1.1,1.9,333.0
30,2019-05-31 18:00,桃園市,觀音,49.0,2.3,0.22,55.0,29.0,13,4.8,6.6,1.8,2.6,39.0
31,2019-05-31 18:00,桃園市,平鎮,61.0,2.7,0.29,35.0,19.0,13,14.0,17.0,3.0,1.2,17.0
32,2019-05-31 18:00,桃園市,龍潭,68.0,2.0,0.28,41.0,20.0,10,7.1,8.3,1.3,1.3,254.0
33,2019-05-31 18:00,桃園市,桃園,52.0,5.6,0.29,35.0,27.0,14,15.0,17.0,1.7,1.5,331.0
34,2019-05-31 18:00,桃園市,中壢,66.0,2.0,0.72,25.0,23.0,14,21.0,31.0,10.0,1.0,15.0
35,2019-05-31 18:00,桃園市,大園,61.0,5.4,0.19,48.0,23.0,17,14.0,17.0,3.2,3.9,32.0
36,2019-05-31 17:00,桃園市,平鎮,65.0,1.9,0.18,33.0,13.0,20,11.0,14.0,3.0,1.6,296.0
37,2019-05-31 17:00,桃園市,桃園,52.0,4.4,0.26,35.0,22.0,13,14.0,16.0,1.8,2.0,333.0
38,2019-05-31 17:00,桃園市,中壢,74.0,1.9,0.97,21.0,18.0,13,21.0,48.0,26.0,1.3,41.0
39,2019-05-31 17:00,桃園市,龍潭,72.0,2.2,0.22,42.0,19.0,21,6.0,7.3,1.3,1.7,242.0
40,2019-05-31 17:00,桃園市,觀音,48.0,4.4,0.19,58.0,32.0,17,5.7,7.7,2.0,2.1,1.0
41,2019-05-31 17:00,桃園市,大園,65.0,4.9,0.22,51.0,30.0,16,11.0,14.0,3.0,3.1,349.0
42,2019-05-31 16:00,桃園市,平鎮,67.0,1.9,0.15,37.0,13.0,16,8.5,12.0,3.3,2.7,275.0
43,2019-05-31 16:00,桃園市,桃園,57.0,2.0,0.19,33.0,14.0,14,5.9,7.3,1.4,1.9,282.0
44,2019-05-31 16:00,桃園市,觀音,49.0,4.1,0.18,54.0,27.0,15,5.4,7.8,2.4,1.9,289.0
45,2019-05-31 16:00,桃園市,龍潭,69.0,2.3,0.22,45.0,25.0,27,4.9,6.3,1.4,2.6,251.0
46,2019-05-31 16:00,桃園市,中壢,82.0,2.2,1.11,23.0,21.0,20,23.0,54.0,31.0,1.1,86.0
47,2019-05-31 16:00,桃園市,大園,68.0,7.7,0.2,48.0,31.0,18,13.0,16.0,2.9,3.2,336.0
48,2019-05-31 15:00,桃園市,龍潭,66.0,1.6,0.21,42.0,,33,4.8,6.4,1.6,3.9,249.0
49,2019-05-31 15:00,桃園市,桃園,61.0,2.3,0.18,36.0,34.0,9,5.7,6.8,1.1,3.1,281.0
50,2019-05-31 15:00,桃園市,觀音,48.0,,0.16,46.0,24.0,13,9.5,13.0,3.3,3.3,248.0
51,2019-05-31 15:00,桃園市,大園,69.0,7.9,0.21,53.0,30.0,25,11.0,14.0,2.8,2.5,263.0
52,2019-05-31 15:00,桃園市,平鎮,70.0,2.7,0.16,36.0,26.0,21,16.0,25.0,8.9,3.0,266.0
53,2019-05-31 15:00,桃園市,中壢,86.0,2.2,0.74,31.0,25.0,25,18.0,41.0,22.0,1.7,120.0
54,2019-05-31 14:00,桃園市,桃園,67.0,3.2,0.22,38.0,22.0,15,6.0,7.2,1.2,3.1,288.0
55,2019-05-31 14:00,桃園市,平鎮,70.0,3.0,0.2,39.0,29.0,25,15.0,22.0,7.5,3.7,265.0
56,2019-05-31 14:00,桃園市,龍潭,62.0,2.7,0.27,51.0,26.0,20,5.8,7.2,1.4,4.1,275.0
57,2019-05-31 14:00,桃園市,大園,65.0,9.4,0.24,56.0,38.0,29,10.0,13.0,3.0,3.7,311.0
58,2019-05-31 14:00,桃園市,中壢,86.0,3.0,0.93,31.0,,37,23.0,46.0,23.0,1.9,103.0
59,2019-05-31 14:00,桃園市,觀音,49.0,,0.18,55.0,37.0,16,2.7,4.2,1.5,2.5,287.0
60,2019-05-31 13:00,桃園市,桃園,68.0,3.0,0.23,44.0,18.0,22,7.3,8.5,1.2,3.1,311.0
61,2019-05-31 13:00,桃園市,龍潭,66.0,2.1,0.27,49.0,27.0,15,5.6,7.3,1.7,4.5,261.0
62,2019-05-31 13:00,桃園市,觀音,49.0,,0.27,55.0,39.0,22,5.2,7.1,1.9,3.1,268.0
63,2019-05-31 13:00,桃園市,平鎮,70.0,3.5,0.23,52.0,30.0,26,12.0,16.0,3.9,2.8,266.0
64,2019-05-31 13:00,桃園市,大園,61.0,7.4,0.28,59.0,39.0,29,8.5,11.0,2.2,4.7,308.0
65,2019-05-31 13:00,桃園市,中壢,81.0,3.2,1.02,40.0,42.0,34,25.0,43.0,18.0,1.9,160.0
66,2019-05-31 12:00,桃園市,龍潭,70.0,1.9,0.3,50.0,24.0,19.0,6.8,8.5,1.7,3.8,259.0
67,2019-05-31 12:00,桃園市,平鎮,68.0,2.8,0.23,52.0,42.0,26.0,15.0,20.0,4.8,3.1,267.0
68,2019-05-31 12:00,桃園市,大園,56.0,7.7,0.26,56.0,42.0,25.0,11.0,14.0,2.9,3.5,287.0
69,2019-05-31 12:00,桃園市,觀音,44.0,4.1,0.24,53.0,46.0,15.0,6.6,9.0,2.4,2.9,251.0
70,2019-05-31 12:00,桃園市,桃園,70.0,3.9,0.27,49.0,39.0,26.0,12.0,14.0,1.8,2.4,339.0
71,2019-05-31 12:00,桃園市,中壢,78.0,2.1,0.99,39.0,42.0,30.0,29.0,54.0,24.0,1.8,124.0
72,2019-05-31 11:00,桃園市,觀音,41.0,3.7,0.3,49.0,45.0,16.0,8.0,11.0,2.5,2.1,296.0
73,2019-05-31 11:00,桃園市,桃園,68.0,2.9,0.27,46.0,34.0,25.0,12.0,13.0,1.5,2.4,359.0
74,2019-05-31 11:00,桃園市,平鎮,69.0,2.8,0.27,54.0,42.0,19.0,12.0,15.0,2.7,2.4,285.0
75,2019-05-31 11:00,桃園市,中壢,78.0,2.0,0.75,40.0,42.0,23.0,25.0,39.0,14.0,1.5,37.0
76,2019-05-31 11:00,桃園市,大園,53.0,7.2,0.23,50.0,37.0,16.0,12.0,15.0,3.5,3.8,314.0
77,2019-05-31 11:00,桃園市,龍潭,73.0,1.7,0.33,46.0,31.0,22.0,6.3,8.0,1.7,3.1,268.0
78,2019-05-31 10:00,桃園市,中壢,80.0,2.0,0.79,28.0,38.0,25,23.0,43.0,20.0,1.2,132.0
79,2019-05-31 10:00,桃園市,平鎮,68.0,2.3,0.22,42.0,34.0,26,9.3,12.0,3.1,2.0,277.0
80,2019-05-31 10:00,桃園市,觀音,38.0,4.8,0.2,44.0,45.0,18,5.3,7.3,2.0,1.9,245.0
81,2019-05-31 10:00,桃園市,桃園,67.0,3.0,0.37,37.0,46.0,20,14.0,16.0,2.3,1.9,301.0
82,2019-05-31 10:00,桃園市,大園,52.0,6.6,0.23,44.0,40.0,17,10.0,14.0,3.4,2.8,320.0
83,2019-05-31 10:00,桃園市,龍潭,71.0,1.7,0.3,36.0,27.0,29,5.7,7.7,2.0,3.0,261.0
84,2019-05-31 09:00,桃園市,大園,48.0,3.5,0.23,42.0,33.0,18.0,7.9,10.0,2.3,2.2,318.0
85,2019-05-31 09:00,桃園市,龍潭,66.0,1.8,0.37,32.0,34.0,27.0,8.2,11.0,3.1,1.9,263.0
86,2019-05-31 09:00,桃園市,觀音,36.0,2.9,0.19,41.0,36.0,16.0,3.4,5.1,1.7,2.2,252.0
87,2019-05-31 09:00,桃園市,中壢,80.0,2.3,0.94,19.0,50.0,26.0,23.0,43.0,20.0,1.0,114.0
