,DataCreationDate,County,SiteName,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec
0,2018-06-30 23:00,桃園市,大園,63.0,0.6,0.15,31.0,42.0,18,7.0,8.3,1.2,2.5,162.0
1,2018-06-30 23:00,桃園市,平鎮,56.0,1.6,0.18,30.0,34.0,14,7.0,8.1,1.1,2.4,181.0
2,2018-06-30 23:00,桃園市,桃園,76.0,2.3,0.2,29.0,36.0,16,7.7,8.9,1.3,1.0,199.0
3,2018-06-30 23:00,桃園市,中壢,59.0,1.6,0.35,24.0,52.0,10,11.0,15.0,3.8,1.9,179.0
4,2018-06-30 23:00,桃園市,觀音,67.0,1.7,0.21,26.0,36.0,18,6.8,6.8,0.1,1.5,184.0
5,2018-06-30 23:00,桃園市,龍潭,65.0,1.2,0.16,31.0,22.0,6,9.0,9.9,0.9,1.9,147.0
6,2018-06-30 22:00,桃園市,觀音,70.0,1.7,0.15,46.0,43.0,26,3.1,3.2,0.1,1.8,200.0
7,2018-06-30 22:00,桃園市,龍潭,71.0,1.1,0.16,35.0,39.0,21,6.8,7.5,0.7,0.9,8.1
8,2018-06-30 22:00,桃園市,大園,65.0,1.3,0.17,45.0,38.0,20,7.5,8.8,1.3,3.7,190.0
9,2018-06-30 22:00,桃園市,平鎮,58.0,1.9,0.22,30.0,37.0,21,12.0,13.0,1.1,3.1,174.0
10,2018-06-30 22:00,桃園市,中壢,63.0,2.0,0.61,21.0,57.0,19,18.0,32.0,13.0,2.4,180.0
11,2018-06-30 22:00,桃園市,桃園,79.0,4.6,0.36,27.0,42.0,28,13.0,14.0,1.5,1.9,203.0
12,2018-06-30 21:00,桃園市,中壢,63.0,3.9,1.31,12.0,56.0,22,36.0,58.0,22.0,0.8,360.0
13,2018-06-30 21:00,桃園市,觀音,68.0,2.7,0.13,48.0,44.0,21,4.8,4.8,0.0,2.2,359.0
14,2018-06-30 21:00,桃園市,平鎮,56.0,3.3,0.36,25.0,34.0,20,22.0,23.0,0.9,1.5,267.0
15,2018-06-30 21:00,桃園市,大園,64.0,3.2,0.17,44.0,41.0,20,9.7,11.0,1.3,1.9,354.0
16,2018-06-30 21:00,桃園市,龍潭,67.0,1.6,0.23,32.0,38.0,30,10.0,11.0,0.9,5.0,259.0
17,2018-06-30 21:00,桃園市,桃園,76.0,5.1,0.54,26.0,50.0,31,19.0,21.0,1.3,0.9,19.0
18,2018-06-30 20:00,桃園市,平鎮,57.0,3.4,0.4,22.0,32.0,18,23.0,25.0,1.7,0.6,303.0
19,2018-06-30 20:00,桃園市,大園,65.0,2.1,0.16,49.0,37.0,20,8.4,9.7,1.2,1.9,14.0
20,2018-06-30 20:00,桃園市,觀音,67.0,3.2,0.16,39.0,48.0,29,8.8,8.9,0.2,1.8,27.0
21,2018-06-30 20:00,桃園市,中壢,61.0,4.5,1.13,20.0,57.0,25,39.0,55.0,16.0,1.0,205.0
22,2018-06-30 20:00,桃園市,桃園,73.0,12.0,0.54,31.0,48.0,35,20.0,21.0,1.5,0.9,1.6
23,2018-06-30 20:00,桃園市,龍潭,61.0,3.2,0.34,38.0,41.0,33,15.0,16.0,0.9,2.6,192.0
24,2018-06-30 19:00,桃園市,中壢,58.0,4.0,1.34,16.0,57.0,24,39.0,56.0,17.0,0.9,310.0
25,2018-06-30 19:00,桃園市,龍潭,54.0,3.3,0.4,51.0,29.0,24,16.0,17.0,0.9,1.6,48.0
26,2018-06-30 19:00,桃園市,平鎮,54.0,3.1,0.35,26.0,36.0,18,22.0,24.0,1.8,1.3,269.0
27,2018-06-30 19:00,桃園市,桃園,68.0,9.2,0.56,39.0,50.0,24,20.0,22.0,1.4,1.0,80.0
28,2018-06-30 19:00,桃園市,觀音,64.0,1.9,0.18,41.0,53.0,26,5.1,5.4,0.2,1.6,55.0
29,2018-06-30 19:00,桃園市,大園,64.0,1.9,0.14,42.0,34.0,27,9.5,11.0,2.0,3.2,14.0
30,2018-06-30 18:00,桃園市,平鎮,54.0,3.1,0.38,50.0,42.0,20,16.0,17.0,1.2,1.5,284.0
31,2018-06-30 18:00,桃園市,大園,62.0,0.7,0.15,42.0,32.0,20,7.1,9.5,2.4,3.8,20.0
32,2018-06-30 18:00,桃園市,龍潭,54.0,2.8,0.32,54.0,28.0,10,11.0,12.0,1.5,1.8,101.0
33,2018-06-30 18:00,桃園市,中壢,55.0,3.6,1.55,26.0,62.0,21,42.0,62.0,20.0,1.7,208.0
34,2018-06-30 18:00,桃園市,觀音,61.0,1.8,0.14,51.0,49.0,23,2.4,2.4,0.0,2.3,30.0
35,2018-06-30 18:00,桃園市,桃園,67.0,3.7,0.49,49.0,49.0,22,17.0,18.0,1.3,1.2,64.0
36,2018-06-30 17:00,桃園市,中壢,55.0,3.9,1.57,18.0,52.0,18,41.0,71.0,29.0,1.8,217.0
37,2018-06-30 17:00,桃園市,龍潭,58.0,2.7,0.27,42.0,29.0,17,12.0,15.0,2.1,1.5,83.0
38,2018-06-30 17:00,桃園市,平鎮,52.0,4.0,0.31,43.0,37.0,20,15.0,17.0,2.0,2.8,93.0
39,2018-06-30 17:00,桃園市,大園,61.0,2.3,0.14,40.0,36.0,26,10.0,14.0,3.2,4.5,1.7
40,2018-06-30 17:00,桃園市,桃園,67.0,7.8,0.37,46.0,50.0,23,14.0,17.0,2.5,1.4,37.0
41,2018-06-30 17:00,桃園市,觀音,57.0,2.3,0.13,50.0,40.0,21,2.8,3.1,0.2,3.5,14.0
42,2018-06-30 16:00,桃園市,龍潭,57.0,1.9,0.25,37.0,31.0,20,13.0,16.0,2.1,2.4,132.0
43,2018-06-30 16:00,桃園市,大園,58.0,1.1,0.13,45.0,39.0,19,4.0,6.0,2.0,3.9,16.0
44,2018-06-30 16:00,桃園市,平鎮,51.0,3.0,0.22,38.0,33.0,10,12.0,14.0,2.7,1.8,37.0
45,2018-06-30 16:00,桃園市,桃園,65.0,6.6,0.32,32.0,48.0,25,14.0,17.0,3.0,1.2,175.0
46,2018-06-30 16:00,桃園市,中壢,51.0,2.9,0.83,19.0,45.0,19,30.0,48.0,18.0,1.5,245.0
47,2018-06-30 16:00,桃園市,觀音,54.0,2.9,0.12,38.0,28.0,24,4.5,5.3,0.8,2.6,359.0
48,2018-06-30 15:00,桃園市,龍潭,54.0,2.0,0.26,48.0,30.0,26,9.8,11.0,1.1,2.6,45.0
49,2018-06-30 15:00,桃園市,桃園,61.0,2.4,0.19,37.0,44.0,24,9.6,12.0,1.9,0.6,232.0
50,2018-06-30 15:00,桃園市,大園,58.0,1.5,0.14,39.0,44.0,22,5.0,7.3,2.3,3.8,358.0
51,2018-06-30 15:00,桃園市,平鎮,52.0,2.3,0.21,41.0,38.0,17,8.3,11.0,2.5,2.9,80.0
52,2018-06-30 15:00,桃園市,中壢,45.0,2.4,0.65,24.0,46.0,22,25.0,39.0,14.0,1.3,6.5
53,2018-06-30 15:00,桃園市,觀音,52.0,1.8,0.12,40.0,32.0,18,2.8,3.2,0.4,2.7,312.0
