,DataCreationDate,County,SiteName,AQI,SO2,CO,O3,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec
0,2018-11-30 23:00,桃園市,龍潭,85.0,4.3,0.79,7.9,45.0,21,29.0,46.0,18.0,0.8,259.0
1,2018-11-30 23:00,桃園市,大園,55.0,5.4,0.5,19.0,40.0,14,28.0,28.0,0.6,2.1,147.0
2,2018-11-30 23:00,桃園市,中壢,55.0,12.0,2.26,0.9,64.0,25,45.0,105.0,61.0,0.8,224.0
3,2018-11-30 23:00,桃園市,桃園,59.0,5.5,0.67,17.0,40.0,24,26.0,29.0,2.3,0.9,52.0
4,2018-11-30 23:00,桃園市,觀音,97.0,11.0,0.77,9.9,62.0,37,37.0,39.0,1.7,1.8,122.0
5,2018-11-30 23:00,桃園市,平鎮,60.0,5.5,0.93,4.2,57.0,26,40.0,48.0,8.3,0.6,241.0
6,2018-11-30 22:00,桃園市,平鎮,58.0,6.1,1.04,5.5,56.0,19,41.0,49.0,8.0,0.8,161.0
7,2018-11-30 22:00,桃園市,中壢,54.0,13.0,2.66,0.1,67.0,11,48.0,132.0,84.0,0.7,290.0
8,2018-11-30 22:00,桃園市,桃園,57.0,5.8,0.65,19.0,38.0,18,26.0,28.0,2.3,1.6,83.0
9,2018-11-30 22:00,桃園市,觀音,94.0,9.9,0.79,8.5,65.0,35,38.0,40.0,1.7,2.5,112.0
10,2018-11-30 22:00,桃園市,大園,57.0,6.0,0.47,23.0,44.0,14,25.0,28.0,2.9,2.6,130.0
11,2018-11-30 22:00,桃園市,龍潭,92.0,4.7,0.7,8.4,47.0,29,32.0,45.0,12.0,0.9,124.0
12,2018-11-30 21:00,桃園市,觀音,92.0,8.2,0.78,8.4,60.0,38,39.0,41.0,2.1,2.3,110.0
13,2018-11-30 21:00,桃園市,龍潭,91.0,5.5,1.08,6.1,60.0,40,39.0,81.0,42.0,0.8,117.0
14,2018-11-30 21:00,桃園市,平鎮,57.0,3.0,0.95,7.4,54.0,20,39.0,45.0,6.0,1.3,106.0
15,2018-11-30 21:00,桃園市,中壢,52.0,9.2,2.62,0.3,71.0,13,49.0,132.0,83.0,0.6,282.0
16,2018-11-30 21:00,桃園市,大園,59.0,5.7,0.48,24.0,41.0,20,25.0,26.0,1.1,2.9,129.0
