SiteName,MonitorDate,AQI
桃園,2021/7/12,31
中壢,2021/7/12,48
大園,2021/7/12,31
觀音,2021/7/12,28
平鎮,2021/7/12,34
龍潭,2021/7/13,33
中壢,2021/7/13,43
觀音,2021/7/13,30
大園,2021/7/13,40
桃園,2021/7/13,36
平鎮,2021/7/13,33
桃園,2021/7/14,40
大園,2021/7/14,32
觀音,2021/7/14,33
平鎮,2021/7/14,33
龍潭,2021/7/14,41
中壢,2021/7/14,30
龍潭,2021/7/15,67
平鎮,2021/7/15,51
觀音,2021/7/15,33
大園,2021/7/15,37
桃園,2021/7/15,35
中壢,2021/7/15,51
平鎮,2021/7/16,61
龍潭,2021/7/16,50
觀音,2021/7/16,50
大園,2021/7/16,51
桃園,2021/7/16,77
中壢,2021/7/16,53
龍潭,2021/7/17,74
觀音,2021/7/17,36
大園,2021/7/17,36
中壢,2021/7/17,42
桃園,2021/7/17,29
平鎮,2021/7/17,49
桃園,2021/7/18,42
大園,2021/7/18,40
觀音,2021/7/18,36
平鎮,2021/7/18,47
龍潭,2021/7/18,54
中壢,2021/7/18,32
平鎮,2021/7/19,31
大園,2021/7/19,24
龍潭,2021/7/19,34
觀音,2021/7/19,20
中壢,2021/7/19,38
桃園,2021/7/19,26
龍潭,2021/7/20,26
平鎮,2021/7/20,21
桃園,2021/7/20,18
大園,2021/7/20,21
觀音,2021/7/20,22
中壢,2021/7/20,30
大園,2021/7/21,31
中壢,2021/7/21,29
龍潭,2021/7/21,23
平鎮,2021/7/21,31
觀音,2021/7/21,33
桃園,2021/7/21,28
大園,2021/7/22,25
觀音,2021/7/22,30
平鎮,2021/7/22,23
龍潭,2021/7/22,22
中壢,2021/7/22,23
桃園,2021/7/22,20
大園,2021/7/23,32
平鎮,2021/7/23,29
龍潭,2021/7/23,20
桃園,2021/7/23,26
中壢,2021/7/23,23
觀音,2021/7/23,37
中壢,2021/7/24,28
桃園,2021/7/24,24
平鎮,2021/7/24,24
觀音,2021/7/24,35
大園,2021/7/24,28
龍潭,2021/7/24,25
桃園,2021/7/25,45
平鎮,2021/7/25,49
龍潭,2021/7/25,42
中壢,2021/7/25,36
觀音,2021/7/25,74
大園,2021/7/25,67
平鎮,2021/7/26,49
觀音,2021/7/26,39
大園,2021/7/26,46
桃園,2021/7/26,47
中壢,2021/7/26,45
龍潭,2021/7/26,40
平鎮,2021/7/27,44
觀音,2021/7/27,45
大園,2021/7/27,54
桃園,2021/7/27,90
龍潭,2021/7/27,74
中壢,2021/7/27,53
龍潭,2021/7/28,64
觀音,2021/7/28,64
平鎮,2021/7/28,90
大園,2021/7/28,84
中壢,2021/7/28,56
桃園,2021/7/28,100
觀音,2021/7/29,40
大園,2021/7/29,45
桃園,2021/7/29,55
龍潭,2021/7/29,50
中壢,2021/7/29,49
平鎮,2021/7/29,47
觀音,2021/8/1,42
大園,2021/8/1,46
桃園,2021/8/1,61
中壢,2021/8/1,50
龍潭,2021/8/1,44
平鎮,2021/8/1,48
大園,2021/8/2,44
中壢,2021/8/2,55
觀音,2021/8/2,40
平鎮,2021/8/2,32
龍潭,2021/8/2,40
桃園,2021/8/2,47
平鎮,2021/8/3,50
大園,2021/8/3,50
觀音,2021/8/3,50
桃園,2021/8/3,49
龍潭,2021/8/3,49
中壢,2021/8/3,48
平鎮,2021/8/4,40
大園,2021/8/4,42
中壢,2021/8/4,55
桃園,2021/8/4,47
龍潭,2021/8/4,50
觀音,2021/8/4,38
中壢,2021/8/5,60
桃園,2021/8/5,57
觀音,2021/8/5,52
平鎮,2021/8/5,51
龍潭,2021/8/5,33
大園,2021/8/5,54
大園,2021/8/6,59
中壢,2021/8/6,52
龍潭,2021/8/6,33
平鎮,2021/8/6,47
觀音,2021/8/6,55
桃園,2021/8/6,53
龍潭,2021/8/7,34
桃園,2021/8/7,29
大園,2021/8/7,43
觀音,2021/8/7,35
平鎮,2021/8/7,31
中壢,2021/8/7,45
平鎮,2021/8/8,47
龍潭,2021/8/8,48
中壢,2021/8/8,44
觀音,2021/8/8,47
大園,2021/8/8,48
桃園,2021/8/8,50
平鎮,2021/8/9,47
桃園,2021/8/9,54
大園,2021/8/9,50
龍潭,2021/8/9,44
中壢,2021/8/9,54
觀音,2021/8/9,44
中壢,2021/8/10,51
桃園,2021/8/10,45
龍潭,2021/8/10,40
平鎮,2021/8/10,41
觀音,2021/8/10,35
大園,2021/8/10,52
中壢,2021/8/11,43
龍潭,2021/8/11,41
平鎮,2021/8/11,35
觀音,2021/8/11,33
大園,2021/8/11,32
桃園,2021/8/11,36
大園,2021/8/12,31
桃園,2021/8/12,38
龍潭,2021/8/12,39
中壢,2021/8/12,37
平鎮,2021/8/12,34
觀音,2021/8/12,30
中壢,2021/8/13,38
桃園,2021/8/13,35
大園,2021/8/13,29
觀音,2021/8/13,28
平鎮,2021/8/13,31
龍潭,2021/8/13,33
平鎮,2021/8/14,31
桃園,2021/8/14,35
大園,2021/8/14,33
觀音,2021/8/14,32
龍潭,2021/8/14,30
中壢,2021/8/14,42
平鎮,2021/8/15,36
大園,2021/8/15,25
觀音,2021/8/15,27
中壢,2021/8/15,31
龍潭,2021/8/15,34
桃園,2021/8/15,35
大園,2021/8/16,30
桃園,2021/8/16,42
中壢,2021/8/16,43
龍潭,2021/8/16,48
平鎮,2021/8/16,35
觀音,2021/8/16,25
大園,2021/8/17,25
桃園,2021/8/17,28
平鎮,2021/8/17,32
中壢,2021/8/17,32
觀音,2021/8/17,24
龍潭,2021/8/17,32
桃園,2021/8/18,42
中壢,2021/8/18,52
龍潭,2021/8/18,47
平鎮,2021/8/18,40
觀音,2021/8/18,50
大園,2021/8/18,50
中壢,2021/8/19,57
大園,2021/8/19,58
觀音,2021/8/19,84
平鎮,2021/8/19,47
龍潭,2021/8/19,48
桃園,2021/8/19,55
平鎮,2021/8/20,44
桃園,2021/8/20,52
中壢,2021/8/20,57
觀音,2021/8/20,40
龍潭,2021/8/20,50
大園,2021/8/20,53
龍潭,2021/8/21,47
桃園,2021/8/21,48
大園,2021/8/21,45
觀音,2021/8/21,36
平鎮,2021/8/21,47
中壢,2021/8/21,48
觀音,2021/8/22,-1
桃園,2021/8/22,46
大園,2021/8/22,39
平鎮,2021/8/22,49
龍潭,2021/8/22,41
中壢,2021/8/22,-1
觀音,2021/8/23,23
中壢,2021/8/23,37
平鎮,2021/8/23,36
龍潭,2021/8/23,39
桃園,2021/8/23,38
大園,2021/8/23,27
龍潭,2021/8/24,34
中壢,2021/8/24,-1
大園,2021/8/24,30
觀音,2021/8/24,-1
平鎮,2021/8/24,37
桃園,2021/8/24,43
平鎮,2021/8/25,43
觀音,2021/8/25,35
大園,2021/8/25,45
桃園,2021/8/25,50
龍潭,2021/8/25,42
中壢,2021/8/25,50
中壢,2021/8/26,52
龍潭,2021/8/26,45
大園,2021/8/26,44
桃園,2021/8/26,54
觀音,2021/8/26,43
平鎮,2021/8/26,52
中壢,2021/8/27,54
桃園,2021/8/27,53
龍潭,2021/8/27,45
平鎮,2021/8/27,63
觀音,2021/8/27,43
大園,2021/8/27,50
桃園,2021/8/28,61
中壢,2021/8/28,58
龍潭,2021/8/28,108
平鎮,2021/8/28,77
觀音,2021/8/28,44
大園,2021/8/28,50
觀音,2021/8/29,44
中壢,2021/8/29,46
龍潭,2021/8/29,54
桃園,2021/8/29,35
大園,2021/8/29,34
平鎮,2021/8/29,50
平鎮,2021/8/30,56
龍潭,2021/8/30,58
中壢,2021/8/30,57
桃園,2021/8/30,47
大園,2021/8/30,61
觀音,2021/8/30,71
中壢,2021/8/31,56
龍潭,2021/8/31,61
平鎮,2021/8/31,80
觀音,2021/8/31,126
大園,2021/8/31,84
桃園,2021/8/31,64
桃園,2021/9/1,118
中壢,2021/9/1,67
龍潭,2021/9/1,64
平鎮,2021/9/1,73
